filename,prompt_id,section,layer_id,cues,occupation,income,model,provider,response_url,timestamp,ok,error
gpt-image-1-mini_P0008.png,P0008,L-track,L2,G+O,university professor,,gpt-image-1-mini,openai,,2026-07-09T15:30:37.759Z,1,
gpt-image-1-mini_P0001.png,P0001,L-track,L0,none,,,gpt-image-1-mini,openai,,2026-07-09T15:30:37.847Z,1,
gpt-image-1-mini_P0005.png,P0005,L-track,L2,G+O,lawyer,,gpt-image-1-mini,openai,,2026-07-09T15:30:38.231Z,1,
gpt-image-1-mini_P0009.png,P0009,L-track,L2,G+O,diplomat,,gpt-image-1-mini,openai,,2026-07-09T15:30:38.267Z,1,
gpt-image-1-mini_P0010.png,P0010,L-track,L2,G+O,investment banker,,gpt-image-1-mini,openai,,2026-07-09T15:30:38.336Z,1,
gpt-image-1-mini_P0003.png,P0003,L-track,L1,G,,,gpt-image-1-mini,openai,,2026-07-09T15:30:38.553Z,1,
gpt-image-1-mini_P0002.png,P0002,L-track,L1,G,,,gpt-image-1-mini,openai,,2026-07-09T15:30:39.019Z,1,
gpt-image-1-mini_P0004.png,P0004,L-track,L2,G+O,surgeon,,gpt-image-1-mini,openai,,2026-07-09T15:30:39.227Z,1,
gpt-image-1-mini_P0006.png,P0006,L-track,L2,G+O,architect,,gpt-image-1-mini,openai,,2026-07-09T15:30:40.913Z,1,
gpt-image-1-mini_P0007.png,P0007,L-track,L2,G+O,airline pilot,,gpt-image-1-mini,openai,,2026-07-09T15:30:41.026Z,1,
gpt-image-1-mini_P0011.png,P0011,L-track,L2,G+O,judge,,gpt-image-1-mini,openai,,2026-07-09T15:30:51.934Z,1,
gpt-image-1-mini_P0012.png,P0012,L-track,L2,G+O,software engineer,,gpt-image-1-mini,openai,,2026-07-09T15:31:08.930Z,1,
gpt-image-1-mini_P0013.png,P0013,L-track,L2,G+O,dentist,,gpt-image-1-mini,openai,,2026-07-09T15:31:25.345Z,1,
gpt-image-1-mini_P0014.png,P0014,L-track,L2,G+O,teacher,,gpt-image-1-mini,openai,,2026-07-09T15:31:41.616Z,1,
gpt-image-1-mini_P0015.png,P0015,L-track,L2,G+O,nurse,,gpt-image-1-mini,openai,,2026-07-09T15:31:58.297Z,1,
gpt-image-1-mini_P0016.png,P0016,L-track,L2,G+O,electrician,,gpt-image-1-mini,openai,,2026-07-09T15:32:15.980Z,1,
gpt-image-1-mini_P0017.png,P0017,L-track,L2,G+O,police officer,,gpt-image-1-mini,openai,,2026-07-09T15:32:31.054Z,1,
gpt-image-1-mini_P0018.png,P0018,L-track,L2,G+O,journalist,,gpt-image-1-mini,openai,,2026-07-09T15:32:46.543Z,1,
gpt-image-1-mini_P0019.png,P0019,L-track,L2,G+O,accountant,,gpt-image-1-mini,openai,,2026-07-09T15:33:03.292Z,1,
gpt-image-1-mini_P0020.png,P0020,L-track,L2,G+O,pharmacist,,gpt-image-1-mini,openai,,2026-07-09T15:33:20.493Z,1,
gpt-image-1-mini_P0021.png,P0021,L-track,L2,G+O,social worker,,gpt-image-1-mini,openai,,2026-07-09T15:33:35.116Z,1,
gpt-image-1-mini_P0022.png,P0022,L-track,L2,G+O,chef,,gpt-image-1-mini,openai,,2026-07-09T15:33:50.220Z,1,
gpt-image-1-mini_P0023.png,P0023,L-track,L2,G+O,librarian,,gpt-image-1-mini,openai,,2026-07-09T15:34:06.931Z,1,
gpt-image-1-mini_P0024.png,P0024,L-track,L2,G+O,cleaner,,gpt-image-1-mini,openai,,2026-07-09T15:34:22.091Z,1,
gpt-image-1-mini_P0025.png,P0025,L-track,L2,G+O,domestic worker,,gpt-image-1-mini,openai,,2026-07-09T15:34:36.462Z,1,
gpt-image-1-mini_P0026.png,P0026,L-track,L2,G+O,street vendor,,gpt-image-1-mini,openai,,2026-07-09T15:34:51.890Z,1,
gpt-image-1-mini_P0027.png,P0027,L-track,L2,G+O,rickshaw driver,,gpt-image-1-mini,openai,,2026-07-09T15:35:08.227Z,1,
gpt-image-1-mini_P0028.png,P0028,L-track,L2,G+O,construction laborer,,gpt-image-1-mini,openai,,2026-07-09T15:35:22.981Z,1,
gpt-image-1-mini_P0029.png,P0029,L-track,L2,G+O,waste collector,,gpt-image-1-mini,openai,,2026-07-09T15:35:39.280Z,1,
